Product Name,Price,Rating,Sold,URL
P9 Wireless Bluetooth Headphones With Mic Noise Cancelling Headsets Stereo Sound Earphones Sports Gaming Headphone Supports Noise Cancellation,"Rs. 1,014",4.645833333333333,706 sold,https:
"PRO RGB Gaming Headphones – Premium Stereo Surround Sound Headset with Noise-Canceling MIC, LED Light Effects, Ergonomic Over-Ear Design for Ultimate Comfort, Perfect for PC & Laptop Gaming","Rs. 1,576",4.576271186440678,327 sold,https:
P9 Wireless Bluetooth Headphones With Mic Noise Cancelling Headsets Stereo Sound Earphones Sports Gaming Headphone Supports Noise Cancellation,Rs. 919,,N/A,https:
P47 Wireless Bluetooth Headphones – Over Ear Foldable Headset with Mic.,Rs. 831,,N/A,https:
P47 Bluetooth Wireless Headphones  Original,Rs. 785,5.0,22 sold,https:
Airpods_Pro Wireless Earbuds Bluetooth 5.0 Compatible with IOS and Android Both,Rs. 399,,N/A,https:
STN-28 Cat Wireless Headphones Bluetooth Over-Ear Headset with Cute Cat Ears,"Rs. 1,459",5.0,13 sold,https:
Original p47 headphone Wireless Earbuds Invisible Ultra Small Bluetooth Handfree for all cell phones,Rs. 799,5.0,20 sold,https:
P47 Wireless Headset Bluetooth Foldable Headphone (Connect with All Smart Cell Phones / Laptops / Computer Systems).,Rs. 738,3.5714285714285716,32 sold,https:
STN-28 Cat Wireless Headphones Bluetooth Over-Ear Headset with Cute Cat Ears,"Rs. 1,449",5.0,15 sold,https:
Original P47 Headphone Good Quality Rechargeable Bluetooth Headphone,Rs. 676,5.0,16 sold,https:
"Ambie Wireless Ear Clips 5.3 Bluetooth Headphones, Comfortable Ear Cuffs, Premium Sound Quality",Rs. 719,5.0,18 sold,https:
"P9 Wireless Bluetooth Headphones with Mic – Noise Cancelling Stereo Headset, Sports & Gaming Earphones with HD Sound",Rs. 831,,21 sold,https:
"Wireless Headphones, P47 Bluetooth Foldable Headset with Microphone Support FM Radio TF for PC TV Smart Phones & Tablets Etc",Rs. 771,5.0,7 sold,https:
Orignal P47 Wireless Headset Bluetooth Foldable On-Ear Headphone Wireless Earbuds Invisible Ultra Small Bluetooth Handfree for all cell phones,Rs. 750,4.746052631578947,4.1K sold,https:
"P47 Wireless headphones with Microphone Bluetooth Foldable Headset Support FM Radio TF for PC ,TV Smart Phones & Tablets etc.",Rs. 535,5.0,11 sold,https:
P47 Wireless Headphones Bluetooth Stereo Head phones Foldable Headset with Mic Wireless Built-in Mic compaible for all Android Devices and PC,Rs. 390,5.0,12 sold,https:
"P47 Wireless Bluetooth Headphones – HiFi Stereo Sound, Built-in Mic, Wireless Over-Ear Headset for Music, Gaming & Calls",Rs. 749,4.742753623188406,2.5K sold,https:
P9 Wireless Bluetooth Headphones With | Mic Noise Cancelling Headsets Stereo Sound Earphones | Sports Gaming Headphones Supports,Rs. 319,5.0,N/A,https:
"Wireless Headphones, P47 Bluetooth Foldable Headset with Microphone Support FM Radio TF for PC TV Smart Phones & Tablets Etc",Rs. 708,,N/A,https:
"P47 Wireless Bluetooth Stereo Headphones  headphones with Microphone Bluetooth Foldable Headset Support FM Radio TF for PC ,TV Smart Phones & Tablets etc",Rs. 849,4.882352941176471,81 sold,https:
"Original P47 wireless headset is a Bluetooth foldable on-ear headphone with wireless earbuds that are invisible, incredibly small, and handfree for all cell phones.",Rs. 700,4.4,71 sold,https:
Original T75 Bone Conduction Wireless Bluetooth 5.3 Headphones Sports Earphones HiFi Sound Quality Waterproof TWS Headset,"Rs. 1,161",,12 sold,https:
P9 Wireless Bluetooth Headpise Chones With Mic Noancelling Headsets Stereo Sound Earphones Sports Gaming Headphones Supports,"Rs. 1,496",5.0,16 sold,https:
M10 AirBuds good sound and good quality type c charging wireless handfree 100% original product,Rs. 650,,N/A,https:
"P9 Wireless Bluetooth Headphones with Mic – Hi-Fi Sound, Noise Cancelling, Foldable Over-Ear – Best for Music, Gaming, Calls – Long Battery – Compatible with Android, iPhone – Best Wireless Headphones",Rs. 979,5.0,23 sold,https:
Magnetic Neckband Headphones Wireless Bluetooth 5.2 Earphones LED Display Headset Sport Noise Cancel Earbuds with Mic,Rs. 377,5.0,8 sold,https:
ASTRO A10 Gen 2 Wired Gaming Headphones – Imported Over-Ear Headset with Flip-to-Mute Microphone & Noise Isolation | Open Box | Blendzii Outleex®,"Rs. 3,427",4.4,47 sold,https:
Ear Phone 3.5mm Headset Ear Hook Super Bass Earphone Handfree Hnadsfree With Mic For Mp3 Player Computer Mobile Telephone Earphone Wireless Blhutooth with Mic For PUG,Rs. 276,4.0,55 sold,https:
"P9 Wireless Bluetooth Headphones with Mic – Hi-Fi Sound, Noise Cancelling, Foldable Over-Ear – Best for Music, Gaming, Calls – Long Battery – Compatible with Android, iPhone – Best Wireless Headphones",Rs. 999,5.0,108 sold,https:
"H130 Gaming Headphones - Over-Ear Stereo Sound Headset with 360° Adjustable Noise Reducing Microphone for PC, Laptop, Mobile, PS4, Xbox - 3.5mm Wired Plug - Red & Black - By FunBug","Rs. 1,597",4.75,87 sold,https:
"AirPods Max Wireless Bluetooth Headphones with Case & P9 Pro Max Without Case Premium Sound, Bass Boost, Leather Cover, iPhone AND Android Compatible, Bluetooth 5.0, Microphone, Memory Foam Earpads","Rs. 1,399",4.682819383259912,1.2K sold,https:
"P9 Wireless Bluetooth Headphones with Mic – Hi-Fi Sound, Noise Cancelling, Foldable Over-Ear – Best for Music, Gaming, Calls – Long Battery – Compatible with Android, iPhone – Best Wireless Headphones",Rs. 989,5.0,20 sold,https:
Original p47 headphone Wireless Earbuds Invisible Ultra Small Bluetooth Handfree for all cell phones,Rs. 784,4.373979591836735,38.8K sold,https:
P9 Wireless Bluetooth Headphones Foldable Wireless Headphones with Mic Stereo Headset Support FM Radio TF for PC TV Tablets & Smart Phones,Rs. 319,5.0,N/A,https:
P9 Wireless Bluetooth Headphones With Mic Volume control Headsets Stereo Sound Earphones Sports Headphones Supports TF,"Rs. 1,266",4.699763593380615,2.8K sold,https:
P9 Wireless Bluetooth Headphones With Mic Noise Cancelling Headsets Stereo Sound Earphones Sports Gaming Headphone Supports Noise Cancellation,Rs. 989,4.735562310030395,2.0K sold,https:
AKG Handsfree - Universal AKG Handfree For All Android Devices Having 3.5mm Headphone Jack - Tuned By Samsung - PUBG AKG Earphone - Handfree For Music - EO-IG955 - Black Color,Rs. 137,4.380073800738008,3.9K sold,https:
"P9 Wireless Bluetooth Headphones with Mic – Hi-Fi Sound, Noise Cancelling, Foldable Over-Ear – Best for Music, Gaming, Calls – Long Battery – Compatible with Android, iPhone – Best Wireless Headphones",Rs. 885,3.857142857142857,28 sold,https:
STN-28 Cat Wireless Headphones Bluetooth Over-Ear Headset with Cute Cat Ears,Rs. 994,4.885350318471337,746 sold,https:
Best Sport's Neckband By Super Sounds_Orignal Neckband_Long Battery Timing_HEO5 Neckband_Neckband_Water Resistance_Hifi Sound With heavy Bass_ Best For Gyms And Sports,Rs. 420,1.0,5 sold,https:
P9 Wireless Bluetooth Headphones With | Mic Noise Cancelling Headsets Stereo Sound Earphones | Sports Gaming Headphones Supports,Rs. 319,5.0,N/A,https:
"Bluetooth Neckband with LED Display – Wireless Earphones with Mic, Battery Indicator, Deep Bass, Magnetic Buds – For Android, iPhone, Gaming, Gym & Daily Use","Rs. 1,075",5.0,8 sold,https:
"🔥 TWS Wireless Earbuds with LED Display – ENC Noise Cancellation, HiFi Stereo, Bluetooth 5.3 – Available in Black & White 🎧",Rs. 552,5.0,N/A,https:
Imported Bluetooth Earphones Wireless Magnetic in Ear Headphones Sport Neckband Neck-hanging TWS Earbuds Wireless Bluetooth Headset with Mic | large Capacity Digital Display Neckband,"Rs. 1,027",5.0,37 sold,https:
AKG Type C Handsfree with stereo sound and high quality bass,Rs. 550,,N/A,https:
"Bluetooth Neckband with LED Display – Wireless Earphones with Mic, Battery Indicator, Deep Bass, Magnetic Buds – For Android, iPhone, Gaming, Gym & Daily Use",Rs. 783,5.0,N/A,https:
P47 Wireless Bluetooth Headset | Foldable On-Ear Headphones | High Bass Stereo Sound | Wireless Earbuds & Invisible Mini Handsfree | Noise Cancelling Headphones | Gaming & Music Headset | Compatible with All Smartphones,Rs. 645,5.0,5 sold,https:
Wireless Headphones Bluetooth 5.2 Neckband Earphones Magnetic Sports Waterproof TWS Earbuds Blutooth Headset With Microphone Mic,Rs. 617,5.0,60 sold,https:
"AIRPODS MAX Wireless Headphones Over-Ear Bluetooth Adjustable 42 Hours of Listening Time Volume Control, Fitting in Gaming/Running/Sports Headphones for iPhone/Android/Samsung -Silver","Rs. 1,204",4.620689655172414,94 sold,https:
Neckband Bluetooth Neckband Headset Wireless Headphone LED Digital Display Neck-hanging Headphone Be Inserted Card Bluetooth Earbuds Sport Running,"Rs. 1,299",5.0,9 sold,https:
Super Sound Neckband_Best Sports Neckband_water Resistance_ HEO5 Neckbands_Lenovo Neckband_ Long Lasting battery timing_Hifi Stereo Sounds quality with Heavy Bass_ Neckband Headset,Rs. 595,4.636363636363637,127 sold,https:
Airpods Air Pro 3rd Gen TWS - Bluetooth Earbuds with Dual Connectivity,Rs. 363,4.618181818181818,272 sold,https:
Lenovo HEO5 X Wireless Bluetooth 5.0 Sports Earphones Headset Neckband_Waterproof Neckband_Sports Neckband_Noice Cancellation in Calling_Magnetic Ear buds_Long Battery Timing UpTo 8 hours,Rs. 795,5.0,93 sold,https:
"P9 Wireless Bluetooth Headphones | HiFi Stereo Over-Ear | Built-in Mic | Sports Headset for iPhone, Tablet, PC",Rs. 885,4.590460526315789,3.8K sold,https:
"New Wireless Girls Cat Headphone And Earbuds Model STN28 , P47M , P47 And P9 | Best Bluetooth 5.0 Stereo Connectivity Headphones","Rs. 1,599",4.585365853658536,430 sold,https:
SODO SD-1102 Bluetooth Wireless Headphone Builtin Mic AUX And TF Card FM Support,"Rs. 2,199",5.0,12 sold,https:
Original p47 headphone Wireless Earbuds Invisible Ultra Small Bluetooth Handfree for all cell phones,Rs. 738,4.769230769230769,47 sold,https:
"Wireless Earbuds Latest_AirPods_Pro and Air31 Titanium Wireless Earbuds, Bluetooth 5.0, High Quality Sound bass airpods_pro 2nd Generation Bluetooth Wireless Earbuds 5.3 For android and Ios",Rs. 434,1.0,5 sold,https:
Lenovo HE05 Wireless Neckband Bluetooth 5.0 Headphone Wireless Headset With Heavy Bass Stereo Earphones High Quality Magnetic Attraction Intelligent Noise Reduction Cancelling Sports Headset,Rs. 830,4.634680134680135,6.3K sold,https:
"P9 Wireless Bluetooth Headphones with Mic – Hi-Fi Sound, Noise Cancelling, Foldable Over-Ear – Best for Music, Gaming, Calls – Long Battery – Compatible with Android, iPhone – Best Wireless Headphones",Rs. 989,4.888888888888889,153 sold,https:
Open Ear Headphones Clip On Ear Earbuds Hands-Free Noise Canceling Ear Clip For Cell Phone PC Tablet Laptop Computer,Rs. 305,4.327586206896552,333 sold,https:
Zayraz P9 Wireless Bluetooth Headphones With Mic Headsets Stereo Sound Earphones Sports Gaming Headphones Supports TF Zayraz Headphones,"Rs. 1,015",4.525862068965517,12.2K sold,https:
"Wireless Headphones, P47 Bluetooth Foldable Headset with Microphone Support FM Radio TF for PC TV Smart Phones & Tablets Etc",Rs. 729,4.328861369109047,12.2K sold,https:
P9 Wireless Bluetooth Headphones With | Mic Noise Cancelling Headsets Stereo Sound Earphones | Sports Gaming Headphones Supports,Rs. 979,4.6802507836990594,1.6K sold,https:
"Wireless Headphones, P47 Bluetooth Foldable Headset with Microphone Support FM Radio TF for PC TV Smart Phones & Tablets Etc",Rs. 813,4.525808281338628,7.4K sold,https:
STN-28 Cat Wireless Headphones Bluetooth Over-Ear Headset with Cute Cat Ears,"Rs. 1,379",4.955882352941177,335 sold,https:
"Modern STN-28 Cat Wireless Bluetooth Headphones with Built-in Microphone - Wireless Headset Headband - Earphones Gift for Android Mobile, iPhone, PC, Laptop, Tablet - Foldable Gym Headphone with HiFi Sound","Rs. 1,477",5.0,33 sold,https:
P47 Wireless Bluetooth Headset | Foldable On-Ear Headphones | High Bass Stereo Sound | Wireless Earbuds Invisible Mini Handsfree | Compatible with All Smartphones,Rs. 645,3.6666666666666665,13 sold,https:
Neckband Wireless Bluetooth 5.4 Headphones HiFi Sound Neckband Earphones Sports Gamer Headsets Noise Reduction,"Rs. 2,025",5.0,13 sold,https:
Techsters T16 Wireless Bluetooth Headphone With Buitin Mic,"Rs. 2,494",4.85,74 sold,https:
"PRO II RGB Gaming Headphones with Noise Cancelling Mic, 7.1 Surround Sound, Super Bass, Vibration, Soft Memory Foam Ear Cushions, for PC, PS4, Mobile, Laptop, and Gaming Consoles","Rs. 1,487",4.595041322314049,2.0K sold,https:
"Wireless Headphones, P47 Bluetooth Foldable Headset with Microphone Support FM Radio TF for PC TV Smart Phones & Tablets Etc",Rs. 585,5.0,N/A,https:
"P9 Wireless Bluetooth Headphones with Mic – Hi-Fi Sound, Noise Cancelling, Foldable Over-Ear – Best for Music, Gaming, Calls – Long Battery – Compatible with Android, iPhone – Best Wireless Headphones",Rs. 855,5.0,6 sold,https:
"Logitech H390 Ear Pads 1 Pair Soft Memory Foam Replacement Cushions for headgear , Comfortable Protein Leather, Noise-Isolating, Easy Install, 2 paces  Durable headphones Ear Cups,  Foam Best H 390 Earpads Thick Quality H390 headset ear pad covers sponge",Rs. 399,5.0,59 sold,https:
Neckband Wireless Bluetooth Earphones | Magnetic Design | HD Sound Quality | Built-in Mic | Long Battery Life | Comfortable Fit | Lightweight | | Universal Compatibility | Best for Calling & Music,Rs. 766,,N/A,https:
"Wireless Headphones, P47 Bluetooth Foldable Headset with Microphone Support FM Radio TF for PC TV Smart Phones & Tablets Etc",Rs. 759,5.0,9 sold,https:
Cat Headphone / P47 Ear Wireless Bluetooth Headphones - Glowing LED Light-Up Foldable Headset for Kids and Adults,Rs. 949,4.730263157894737,947 sold,https:
"M10 True Wireless Earbuds Airpods M10 Air buds : Bluetooth with Noise-Cancelling, Long Battery Life & Touch Control - Perfect for Sports & Gaming",Rs. 689,4.488957370313303,11.2K sold,https:
Dual Color Cat Head Wireless Bluetooth Headphones LED Light for Mobile PC Laptop - Bluetooth Headphone - Girls Headphone  - Cute Cat Ear Bluetooth Headphones with LED Wireless Headset,"Rs. 1,471",4.711864406779661,1.5K sold,https:
